,cost,title,content
0,"160,000원",에어팟2 무선 미개봉 강남쪽 직거래,"에어팟2 무선 미개봉 강남쪽 직거래 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.      선물용으로 구매 후 필요 없어져서 판매 합니다 무선 직거래로 원해요 정품 아닐시 전액 환불 해드립니다 직거래 만나셔서 정품 등록 해도 됩니다!  "
1,"168,000원",에어팟2세대 무선 미개봉 정품 판매합니다 인천주안직거래,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 에어팟2세대 무선 미개봉 정품 판매합니다 인천주안직거래 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
2,"170,000원",에어팟2 무선 미개봉(+무선충전패드) 충주. 서울직 ,"에어팟2 무선 미개봉(+무선충전패드) 충주. 서울직 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
3,"170,000원",에어팟 2세대 무선충전 미개봉상품 팔아요,"에어팟 2세대 무선충전 미개봉상품 팔아요 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 송년회때 경품으로 받은 에어팟 2세대 미개봉 새상품입니다. 직거래는 의정부에서만 하고 택배거래합니다. 연락은 문자나 전화로 부탁드립니다.      "
4,"185,000원",[판매] 에어팟2세대 무선충전 미개봉(택포),"[판매] 에어팟2세대 무선충전 미개봉(택포) 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 에어팟2세대 무선 미개봉 판매합니다.가격은 택비포함 185,000원입니다.연락처는 010 3310 칠오일공 입니다. 문자로 연락주세요프리스비에서 구매한 국내 정품입니다. "
5,"320,000원",[최저가💚공식스토어] 애플 에어팟 프로 블루투스 무선 이어폰 3세대 한국정품💚미개봉 새제품💚케이스&스티커 증정💦한정 판매중 [서울직거래],"[최저가💚공식스토어] 애플 에어팟 프로 블루투스 무선 이어폰 3세대 한국정품💚미개봉 새제품💚케이스&스티커 증정💦한정 판매중 [서울직거래] 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 2. 애플 공인스토어 유통 비닐밀봉 완전한 새제품 3. 2020년 01월 구매제품으로 제조년월도 최신 4. 정품등록 100% 온라인으로 바로가능 (애플) 5. 월드워런티 무상 A/S 1년(365일) 보증기간 6. 전용 고급 실리콘케이스 다양한색상 증정해요 7. 철가루방지 18K 도금 정품스티커도 증정해요 8. 최근 가품이 돌고있는데 이건 100% 정품이며    아닐시 200% 보상합니다 [애플 공식#제품] 9. 택배거래시 3시 이전 거래완료건 당일배송    퀵거래 · 새벽 택배접수 및 제품 인증가능 [최고회원인증] [개인/정직판매] [사이버안전후원회원]     "
6,"160,000원",********국내 정품 에어팟2 무선 비닐 미개봉 새상품 팝니다***************,"********국내 정품 에어팟2 무선 비닐 미개봉 새상품 팝니다*************** 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
7,"140,000원",●●오랜만에 컴백 에어팟2 유선 무선 에어팟프로 미개봉 10대 팝니다 ,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > ●●오랜만에 컴백 에어팟2 유선 무선 에어팟프로 미개봉 10대 팝니다 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 에어팟2 유선 미개봉ㅡ14만원 17대에어팟2 무선 미개봉ㅡ15.5만원4대에어팟프로 미개봉ㅡ32만원5대팝니다.●●택배비포함금액 입니다.※내고문자는 답변안갈것이며 2대이상구매시 대당5.000원씩 빼드립니다.※이미 여러대 판매했으며 까다로운 요구조건 거시는분들은 정중하게 사양하겠습니다~!※모래(수요일) 오후3시30분 ●우체국 택배로 일괄발송예정이니 구매 예정자는 모래점심시간까지 입금부탁드리고 ●입금후 받으실분 주소.이름.성함● 순으로 문자부탁드립니다.●연락처:응 7383-7319●"
8,"2,222원",※  에어팟2세대  유/무선 미개봉 새상품 판매합니다,"※  에어팟2세대  유/무선 미개봉 새상품 판매합니다 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
9,"170,000원",에어팟2세대/무선충전가능/미개봉/택포,"에어팟2세대/무선충전가능/미개봉/택포 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 에어팟 2세대 미개봉상품170,000원 택포 판매합니다.우체국으로 안전 배송됩니다 !!많은 문의 부탁드려요💛칼답 갑니다!!"
