,cost,title,content
0,"320,000원",애플 에어팟 프로 (미개봉) 팝니다! 2,"애플 에어팟 프로 (미개봉) 팝니다! 2 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 애플 에어팟 프로 (미개봉) 팝니다! 국내정품(19년 12월 생산)이고 미개봉이라   따로 설명은 안드리겠습니다!   서울 강남 삼성중앙역쪽 직거래 원합니다.  금액은 32만원 입니다. *본인 전화번호 써서 사진 보내달라고 하지 마세요! 이렇게 사진만 도용하시는 분들이 정말 많네요!댓글은 보지 않으니 필요하신 분은 문자나 연락주세요^^010-4114-3700        "
1,"319,000원",에어팟 프로 2개  애플코리아 미개봉 새제품,"에어팟 프로 2개  애플코리아 미개봉 새제품 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
2,"5,555원",에어팟프로28만원급처합니다 미개봉 새재품 에어팟2 무선 15만원 급처판매요 미개봉,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 >  카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
3,"149,900원",국내 정품- 에어팟2 유선/ 에어팟 프로 2개 애플코리아 미개봉 새제품,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 국내 정품- 에어팟2 유선/ 에어팟 프로 2개 애플코리아 미개봉 새제품 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
4,"140,000원",●●오랜만에 컴백 에어팟2 유선 무선 에어팟프로 미개봉 15대 팝니다 ,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > ●●오랜만에 컴백 에어팟2 유선 무선 에어팟프로 미개봉 15대 팝니다 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 에어팟2 유선 미개봉ㅡ14만원 15대에어팟2 무선 미개봉ㅡ15.5만원3대에어팟프로 미개봉ㅡ32만원5대팝니다.●●택배비포함금액 입니다.※내고문자는 답변안갈것이며 2대이상구매시 대당5.000원씩 빼드립니다.※이미 여러대 판매했으며 까다로운 요구조건 거시는분들은 정중하게 사양하겠습니다~!※내일(수요일) 아래 사진처럼 오후3시30분 ●우체국 택배로 일괄발송예정이니 구매 예정자는 모래점심시간까지 입금부탁드리고 ●입금후 받으실분 주소.이름.성함● 순으로 문자부탁드립니다.●연락처:응 7383-7319●"
5,"162,000원",(미개봉)에어팟프로 30.5만 에어팟2 무선 16.2만 아이패드미니5세대 42만 팝니다,"(미개봉)에어팟프로 30.5만 에어팟2 무선 16.2만 아이패드미니5세대 42만 팝니다 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
6,"280,000원","갤럭시엑티브2 44mm 미개봉핑크,실버팔거나 에어팟프로교환함(악세서리,스트렙할인권포함) ","갤럭시엑티브2 44mm 미개봉핑크,실버팔거나 에어팟프로교환함(악세서리,스트렙할인권포함) 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 서울건대직거래갤럭시엑티브2 미개봉 44mm실버28만핑크28만"
7,"360,000원",에어팟 프로 미개봉 판매합니다. 수령 완료. 즉시 거래 가능. 애플케어플러스 무상리퍼 2회 가능. 36만원. 강남역/방배역/내방역,"에어팟 프로 미개봉 판매합니다. 수령 완료. 즉시 거래 가능. 애플케어플러스 무상리퍼 2회 가능. 36만원. 강남역/방배역/내방역 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 에어팟 프로 미개봉 판매합니다. 수령 완료. 즉시 거래 가능. 애플케어플러스 무상리퍼 2회 가능. 36만원. 강남역/방배역/내방역에어팟 프로 미개봉 판매합니다.가격 36만원국내리퍼 가능합니다애플케어플러스 일시불 가입되어있습니다애플 보험이라고 생각하시면 됩니다(2회에 한해 파손 무상리퍼가능, 현재 애플스토어 가로수길 등 일부 센터 정책 기준)서울직거래(신분당선,2호선 강남역 / 2호선 방배역 / 7호선 내방역)입니다."
8,"240,000원",에어팟 프로 미개봉 카톡사기 xstarx2   dudau219,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 에어팟 프로 미개봉 카톡사기 xstarx2   dudau219 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 댓글 막아놓거나 연락처 없이 카톡만 있고 안전거래 유도하면 사기입니다"
9,"310,000원","에어팟프로 미개봉 , 애플워치2 42mm 알루미늄 떨이 팝니다.","에어팟프로 미개봉 , 애플워치2 42mm 알루미늄 떨이 팝니다. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
