,cost,title,content
0,"510,000원",미개봉 새 제품 애플워치 5 스페이스 그레이 알루미늄 케이스 블랙스포츠 밴드 44MM GPS,"미개봉 새 제품 애플워치 5 스페이스 그레이 알루미늄 케이스 블랙스포츠 밴드 44MM GPS 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. - 미개봉 새 제품 애플워치 5 스페이스 그레이 알루미늄 케이스 블랙스포츠 밴드 44MM GPS      "
1,"10,000원","애플워치3 나이키 플러스 GPS, 42mm 스페이스그레이 미개봉 새제품 / 애플워치5 나이키 플러스 GPS, 44mm ","애플워치3 나이키 플러스 GPS, 42mm 스페이스그레이 미개봉 새제품 / 애플워치5 나이키 플러스 GPS, 44mm 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
2,"520,000원",(미개봉) 애플워치 5 44mm 스페이스그레이 52만원에 팔아요!  ,"(미개봉) 애플워치 5 44mm 스페이스그레이 52만원에 팔아요! 
                                    네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.
                                             (미개봉) 애플워치 5 44mm 스페이스그레이 52만원에 팔아요!   제가 사는 지역이 제주라서~ 다른 지역일 경우 택배밖에 안될 것 같아요ㅠㅠ 양해부탁드리고요~ 택배비는 제가 부담하겠습니다앙! "
3,"530,000원",애플워치5 GPS 44mm 스페이스그레이 미개봉 팝니다.,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 애플워치5 GPS 44mm 스페이스그레이 미개봉 팝니다. 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
4,"480,000원","애플워치5 44mm 스그, 실버 GPS 미개봉 - 48만","애플워치5 44mm 스그, 실버 GPS 미개봉 - 48만 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
5,"560,000원",[미개봉 북미판 애플워치5 44mm] 스페이스 그레이 심전도 활성화 가능,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > [미개봉 북미판 애플워치5 44mm] 스페이스 그레이 심전도 활성화 가능 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.     [미개봉 북미판 애플워치5 44mm] 스페이스 그레이 심전도 활성화 가능    북미판 스페이스 그레이 애플워치5 입니다 국내판은 심전도 활성화 안되지만 북미판은 활성화 가능합니다!!!(검색해보시면 나와여) 여자라... 40mm로 다시 사려고 하는데 이건 선물받은거라 환불도 안되서..   쪽지나 덧글 주시고 조건에 맞는 분이 있으시면 바로 쿨거래 하겠습니다. 직접은 다음주 월요일 이후, 평일 선릉역, 택배도 가능합니다!"
6,"570,000원",애플워치5 40m gps+lte 셀룰러 스페이스그레이 미개봉 ,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 애플워치5 40m gps+lte 셀룰러 스페이스그레이 미개봉 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 미개봉 애플워치5 40mm 셀롤러 스페이스 그레이 팔아요.국내정식 발매 제품 이구요.gps + lte 가능한 셀룰러 모델 입니다.3사 이용 가능한 단말기자급제 제품 입니다. 40mm 구요. 색상 스페이스 그레이 입니다.비닐 뜯지 않은 미개봉 새상품 입니다.서울 2호선 강변역 에서 직거래 가능 하구요.가격은 57만원 에 판매 합니다. 가격 네고 안합니다구매 의사 있으신분 010.98오2.101칠연락 주세요."
7,"600,000원",애플워치5 미개봉 셀룰러 40.44 스그 팝니다,"애플워치5 미개봉 셀룰러 40.44 스그 팝니다 
                                    네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.
                                        애플워치5 스그 40.44mm 둘다 보유중 이에요  44mm는 수량2개이고 1개는 예약중입니다  부산 지역은 서면역 직거래 가능해요  가격은 조금 맞춰 드릴수 있어용 얼른 데꼬 가세요 ~~~~!      "
8,"500,000원",애플워치5 44mm 스페이스그레이 알루미늄 미개봉 삽니다. (나이키에디션 가능),"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 애플워치5 44mm 스페이스그레이 알루미늄 미개봉 삽니다. (나이키에디션 가능) 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.   애플워치5 44mm 스페이스그레이 알루미늄 미개봉 삽니다. 나이키에디션 스그 44mm가능하구요   사기꾼정보조회 다 해볼테니 사기꾼을 연락하지마시구요   직거래 춘천및 서울 청량리/용산에서 가능합니다   미개봉씰확인및 제품박스 하단에 제품정보 확인후에 거래하도록 하겠습니다."
9,"520,000원",미개봉 애플워치5 스페이스그레이44mm gps팝니다,"미개봉 애플워치5 스페이스그레이44mm gps팝니다 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 미개봉이라 따로 드릴말씀은 없구요직거래 충북 오창에서 가능 나머진 택배거래합니다 구입일 1월 10일경입니다.안심번호 문자주세요"
10,"520,000원",[미개봉] 애플워치5 스페이스그레이 알루미늄 케이스/블랙스포츠밴드/44mm/애플코리아정품/팝니다.,"[미개봉] 애플워치5 스페이스그레이 알루미늄 케이스/블랙스포츠밴드/44mm/애플코리아정품/팝니다. 해당 상품의 안전거래 결제 기간이 만료되었습니다. 
                                    네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.
                                       애플워치 5 미개봉 새제품 팝니다. 44mm 스페이스그레이알루미늄 블랙 스포츠밴드 A2093  애플코리아 정품으로 국내에서 판매하는 제품입니다. 가급적이면 직거래 원합니다. 부천 상동역, 인천 삼산체육관역, 굴포천역 근처에서 거래가능합니다. 택배거래시 선받고 거래합니다.  거래 원하실경우 문자부탁드립니다.(쪽지는 확인 못 해요ㅜ)  미개봉제품이므로 교환환불은 안 됩니다"
11,"500,000원",애플워치5 알루미늄 스페이스그레이 44mm 미개봉 새상품 팝니다,"애플워치5 알루미늄 스페이스그레이 44mm 미개봉 새상품 팝니다 해당 상품의 안전거래 결제 기간이 만료되었습니다. 
                                    네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.
                                 애플워치5 알루미늄 스페이스그레이 44mm 미개봉 새상품 팝니다   택배비는 제가 부담해요 쿨거래 하실분       "
12,"500,000원",애플워치5 나이키 스페이스그레이 44mm gps (미개봉) 구합니다,"애플워치5 나이키 스페이스그레이 44mm gps (미개봉) 구합니다 해당 상품의 안전거래 결제 기간이 만료되었습니다. 
                                    네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.
                                "
13,"490,000원",애플워치 5 [미개봉] 44mm 스페이스 그레이 블랙 스포츠 밴드,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 애플워치 5 [미개봉] 44mm 스페이스 그레이 블랙 스포츠 밴드 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다."
14,"500,000원","애플워치5 미개봉 스페이스그레이 44mm GPS 500,000원 ","애플워치5 미개봉 스페이스그레이 44mm GPS 500,000원 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 애플워치5 미개봉 스페이스그레이 44mm GPS 500,000원 판매합니다. 삼성역 직거래합니다."
15,"500,000원",애플워치5 44mm 스그 gps 미개봉 블랙스포츠밴드,"애플워치5 44mm 스그 gps 미개봉 블랙스포츠밴드 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 미개봉 입니다 스페이스그레이.알류미늄케이스 블랙스포츠밴드오늘은 동탄에서도가능.보정역에서 직거래희망입니다"
16,"480,000원",(미개봉)애플워치5 스페이스그레이 44mm gps,"(미개봉)애플워치5 스페이스그레이 44mm gps 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 미개봉 상품이며   애플워치5   스페이스그레이 알루미늄   44mm   Gps모델입니다   직거래장소:압구정갤러리아백화점       "
17,"490,000원",애플워치5 44mm 스페이스그레이 미개봉 제품49만원(대구) 삽니다,"중고나라에서 제안하는 안심거래 정보가 부족하여 위험도가 높은 게시글로 추정됩니다. 공지 확인하기 > 애플워치5 44mm 스페이스그레이 미개봉 제품49만원(대구) 삽니다 카페 멤버들에게 네이버페이로 송금해보세요. 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다. 대구거래는 보이지가않네요...대구,경산까지 이동가능합니다. 댓글또는 쪽지 주시면 언제든 갈수있습니다.연락기다리겠습니다 좋은하루되세요"
18,"450,000원",애플워치5 44mm 미개봉 스그 45만삽니다,"애플워치5 44mm 미개봉 스그 45만삽니다 
    불확실한 판매자(본인 미인증, 해외IP, 사기의심 전화번호)의 물건은 구매하지 말아주세요.
    판매자와의 연락은 메신저보다는 전화, 메일 등을 이용하시고 개인정보 유출에 주의하세요.
    계좌이체 시 선입금을 유도할 경우 안전한 거래인지 다시 한 번 확인해주세요.
 네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.   애플워치5 44mm 미개봉 스그 45만삽니다    쿨거래 빠르게 판매하고싶으신분 연락주세요"
19,"11,111원",애플워치5 나이키 스그 44mm gps 미개봉 구매해봅니다!!(서울 직거래),"애플워치5 나이키 스그 44mm gps 미개봉 구매해봅니다!!(서울 직거래) 해당 상품의 안전거래 결제 기간이 만료되었습니다. 
                                    네이버에 등록된 판매 물품과 내용은 개별 판매자가 등록한 것으로서, 네이버카페는 등록을 위한 시스템만 제공하며 내용에 대하여 일체의 책임을 지지 않습니다.
                                "
