,cost,title
0,"1,200,000원","
            아이패드 프로 2세대 11형 256 셀룰러 스그 미개봉 새제품 20.09제조
        "
1,"1,650,000원","
            미개봉 아이패드프로4 11인치(2세대) 1TB 셀룰러 그레이 애플펜슬2 애플코리아 팝니다
        "
2,"1,500,000원","
            미개봉) 급처) 아이패드 프로 4세대 11인치 512기가 셀룰러 급처
        "
3,"1,200,000원","
            아이패드 프로 4세대 11인치 256GB 스그 셀룰러 미개봉입니다.
        "
4,"1,150,000원","
            아이패드 프로 4세대 11인치 셀룰러 256gb 실버 미개봉 팝니다
        "
5,"930,000원","
            미개봉 아이패드프로 11인치 2세대 WIFI+셀룰러 128기가 팝니다 (판매완료)
        "
6,"1,250,000원","
            홍대정문앞  미개봉 아이패드프로 2세대11형 셀룰러 512기가 판매합니다
        "
7,"1,100,000원","
            아이패드 프로 11형(2세대) 와이파이+셀룰러 팝니다.(미개봉)
        "
8,"1,110,000원","
            미개봉 아이패드 프로 4세대 11형 128. 셀룰러 
        "
9,"2,222원","
            아이패드 프로 4세대 11인치 셀룰러 256g 스페이스그레이 미개봉 판매합니다
        "
10,"930,000원","
            아이패드 프로 4세대 11인치 128기가 WIFI, 12.9인치 256GB 셀룰러 미개봉 팝니다. 
        "
11,"1,300,000원","
            2020년 아이패드 프로 11 2세대 wifi+셀룰러 512GB 스페이스 그레이 미개봉
        "
12,"1,220,000원","
            아이패드 프로 4세대 11 256g 셀룰러미개봉
        "
13,"1,100,000원","
            아이패드프로2 4세대 11인치 실버 128GB 셀룰러+wifi용 미개봉 팝니다.  A2230
        "
14,"1,250,000원","
            아이패드 프로 4세대 미개봉 11인치 셀룰러 애플케어 128g 스페이스 그레이 팝니다.
        "
15,"1,120,000원","
            미개봉) 아이패드프로 4세대 11형 128 스페이스 그레이 셀룰러 팝니다. 
        "
16,"2,000원","
            [강서구][미개봉]아이패드 프로 4세대 11인치 128gb 셀룰러(WIFI + LTE) 팝니다.
        "
17,"1,110,000원","
            (사전예약)아이패드 프로 4세대 11인치 실버 128GB 셀룰러 미개봉 팝니다.
        "
18,"1,200,000원","
            미개봉! 아이패드 프로3 11 셀룰러 256G +펜슬 2세대 판매합니다 (스그)
        "
19,"1,300,000원","
            미개봉 아이패드 프로 3세대 11인치 256g 셀룰러 + 애플팬슬 2세대 팝니다
        "
20,"1,350,000원","
            {완전미개봉}아이패드 프로 3세대 11인치 셀룰러 256기가 실버(2세대펜슬,커버)
        "
21,"1,750,000원","
            미개봉 아이패드 프로 3세대 11형 셀룰러 512G 스페이스 그레이 풀세트와 애플펜슬 2세대 팜
        "
