,cost,title
0,"350,000원","
            아이패드 6세대 32g
        "
1,"730,000원","
            아이패드 2세대 프로 10.5 256GB 셀룰러 스페이스 그레이 (1세대 펜슬 포함)
        "
2,"100,000원","
            애플펜슬1세대 미개봉 새제품 판매합니다.
        "
3,"740,000원","
            아이패드 에어3세대 로즈골드 64G WIFI 및 애플펜슬 판매합니다(케이스+펜촉 증정)
        "
4,"750,000원","
            아이패드 프로 2세대 셀룰러+WIFI 256G, 스페이스 그레이 + 애플펜슬 + 정품 키보드 + 정품 커버
        "
5,"300,000원","
            아이패드 7세대 32기가 와이파이 30만
        "
6,"680,000원","
            [팝니다]아이패드 에어3 골드 WIFI  64G + 애플펜슬 + 펜수납케이스 + IOS 13.3.1
        "
7,"750,000원","
            전주.아이패드 프로 12.9 2세대 256g wifi
        "
8,"1,350,000원","
            아이패드 12.9 4세대 와이파이 128GB + 스마트키보드폴리오, 호환펜슬 팝니다.
        "
9,"430,000원","
            아이패드 7세대 (32GB) + 애플펜슬 1세대 (필름부착/케이스포함)
        "
10,"480,000원","
            아이패드 6세대 셀룰러 128G + 애플펜슬 1세대 + HDMI 단자 세트로 판매합니다.
        "
11,"2,000,000원","
            APPLE 아이패드 프로 4세대 12.9 Cellular 256GB (애플펜슬/폴리오케이스 패키지) 팝니다.
        "
12,"700,000원","
            부산] 아이패드 미니 5세대 셀룰러 256GB 스페이스 그레이 애플 케어 플러스 + 애플 펜슬 1세대
        "
13,"900,000원","
            [상태 최상] 아이패드 에어 3세대 Wi-Fi + Cellular 256GB, Silver  및 펜슬 1세대 판매 합니다.
        "
14,"650,000원","
            [판매] 아이패드 프로 10.5형 256GB 셀룰러(LTE) 스페이스 그레이, 애플펜슬, 케이스
        "
15,"390,000원","
            아이패드미니5 + 1세대 애플펜슬 39만원
        "
16,"550,000원","
            아이패드 7세대(2019년형) 128gb, 와이파이 (wifi), 애플 스마트키보드 // 아이패드 미니 5세대(2019년형) 64gb, 셀룰러 (wifi+cellular), 애플펜슬1 풀박스, 하드케이스 판매합니다.
        "
17,"1,200,000원","
            아이패드 프로 3세대 11인치 256 스그 wifi+애플케어플러스+애플펜슬2
        "
18,"910,000원","
            아이패드 프로 3세대 11인치 256G wifi + LTE 스페이스그레이 풀박
        "
19,"93,000원","
            애플펜슬 1세대 거의새거
        "
20,"500,000원","
            [풀박스] 아이패드 미니5 로즈골드 wifi 64gb + 애플펜슬
        "
21,"500,000원","
            아이패드 미니 5세대 64g wifi + 애플펜슬 1세대
        "
22,"720,000원","
            애플 아이패드 프로 2세대 12.9인치 64GB 셀룰러 및 부속 악세서리(가격 인하)
        "
23,"650,000원","
            풀박스 아이패드 에어3  64g wifi,애플펜슬 실버 전면 후면 스코코필름,링케케이스, 거치대
        "
24,"420,000원","
            아이패드 6세대 32g+애플펜슬 1세대
        "
25,"1,200,000원","
            아이패드 프로 4세대 20년형 11인치 실버 128G WIFI + 애플펜스2 + 애플케어플러스
        "
26,"530,000원","
            아이패드 미니5 셀룰러 64G 상태 좋습니다.
        "
